name, nonempty, empty
Abel_Herrero, 4 , 0
Al_Green, 11 , 66
Allen_Fletcher, 2 , 9
Alma_Allen, 2 , 0
Ana_Hernandez, 2 , 1
Andrew_Murr, 2 , 1
Angie_Chen_Button, 4 , 0
Armando_Martinez, 1 , 1
Armando_Walle, 5 , 0
Barbara_Hervey, 3 , 3
Bert_Richardson, 24 , 0
Beto_O'Rourke, 0
Beto_O'Rourke_bak, 0
Beto_O’Rourke, 2 , 494
Bill_Flores, 21 , 23
Bill_Zedler, 4 , 2
Blake_Farenthold, 23 , 13
Bob_Hall, 9 , 76
Bob_Libal, 4 , 0
Bobby_Guerra, 1 , 0
Borris_L._Miles, 2 , 1
Borris_Miles, 2 , 1
Brandon_Creighton, 7 , 0
Brian_Babin, 6 , 3
Brian_Birdwell, 8 , 1
Brooks_Landgraf, 1 , 0
Bryan_Hughes, 8 , 0
Byron_Cook, 6 , 0
Carlos_Uresti, 5 , 0
Carol_Alvarado, 6 , 1
Cecil_Bell, 7 , 38
Celia_Israel, 8 , 0
Cesar_Blanco, 3 , 0
Charles_Anderson, 4 , 46
Charles_Perry, 9 , 12
Charles_Schwertner, 3 , 0
Charlie_Geren, 7 , 0
Cheryl_Johnson, 4 , 1
Chris_Paddie, 6 , 1
Chris_Turner, 9 , 25
Christi_Craddick, 6 , 0
Cindy_Burkett, 2 , 0
Craig_Estes, 5 , 0
Craig_Goldman, 2 , 0
Dade_Phelan, 1 , 0
Dan_Flynn, 3 , 1
Dan_Huberty, 6 , 0
Dan_Patrick, 134 , 16
David_Newell, 3 , 73
David_Porter, 18 , 29
David_Simpson, 18 , 8
Dawnna_Dukes, 5 , 0
Debbie_Riddle, 4 , 1
Debra_Lehrmann, 3 , 0
Dennis_Bonnen, 3 , 2
Dennis_Paul, 1 , 2
Don_Huffines, 4 , 0
Don_R._Willett, 3 , 0
Don_Willett, 8 , 1
Donna_Campbell, 16 , 2
Donna_Howard, 13 , 2
Doug_Miller, 1 , 9
Drew_Darby, 5 , 0
Drew_Springer, 2 , 1
Dwayne_Bohac, 3 , 0
Ed_Thompson, 1 , 9
Eddie_Johnson, 3 , 40
Eddie_Lucio_III, 6 , 0
Eddie_Lucio_Jr., 7 , 3
Eddie_Rodriguez, 5 , 3
Elliott_Naishtat, 6 , 5
Elsa_Alcala, 5 , 0
Eric_Johnson, 10 , 34
Eva_Guzman, 3 , 0
Filemon_Vela, 5 , 15
Four_Price, 3 , 2
Garnet_Coleman, 10 , 12
Gary_Elkins, 5 , 1
Gary_VanDeaver, 1 , 0
Geanie_Morrison, 5 , 1
Gene_Green, 9 , 58
Gene_Wu, 5 , 0
George_P._Bush, 63 , 35
Gilbert_Pena, 1 , 0
Giovanni_Capriglione, 7 , 0
Glenn_Hegar, 24 , 2
Greg_Abbott, 455 , 84
Greg_Bonnen, 2 , 0
Harold_Dutton, 7 , 2
Helen_Giddings, 1 , 1
Henry_Cuellar, 52 , 51
Hubert_Vo, 4 , 4
Ina_Minjarez, 1 , 0
J._M._Lozano, 7 , 0
J.D._Sheffield, 2 , 0
J.M._Lozano, 1 , 0
James_Frank, 7 , 42
James_White, 25 , 63
Jane_Nelson, 16 , 16
Jason_Isaac, 5 , 0
Jason_Villalba, 10 , 0
Jeb_Hensarling, 190 , 191
Jeff_Brown, 4 , 8
Jeff_Leach, 2 , 2
Jeffrey_Boyd, 4 , 5
Jeffrey_S._Boyd, 3 , 0
Jessica_Farrar, 10 , 2
Jim_Keffer, 12 , 2
Jim_Murphy, 6 , 21
Jimmie_Don_Aycock, 12 , 0
Joan_Huffman, 8 , 0
Joaquin_Castro, 51 , 17
Jodie_Laubenberg, 4 , 1
Joe_Barton, 48 , 141
Joe_Deshotel, 1 , 0
Joe_Pickett, 11 , 2
Joe_Straus, 82 , 8
John_Carter, 31 , 126
John_Cornyn, 469 , 432
John_Culberson, 20 , 27
John_Devine, 3 , 12
John_Frullo, 4 , 0
John_Kuempel, 2 , 0
John_Otto, 6 , 7
John_Ratcliffe, 18 , 1
John_Smithee, 1 , 1
John_Whitmire, 39 , 26
John_Wray, 2 , 13
John_Zerwas, 7 , 0
Jonathan_Stickland, 11 , 1
Jose_Menendez, 5 , 2
Jose_Rodriguez, 10 , 22
Joseph_Moody, 1 , 1
Juan_Hinojosa, 15 , 6
Judith_Zaffirini, 22 , 4
Justin_Rodriguez, 1 , 0
Kay_Granger, 12 , 9
Kel_Seliger, 25 , 1
Kelly_Hancock, 4 , 0
Ken_King, 3 , 0
Ken_Paxton, 64 , 0
Kenneth_Sheets, 2 , 0
Kenny_Marchant, 13 , 4
Kevin_Brady, 57 , 57
Kevin_Eltife, 8 , 1
Kevin_Yeary, 1 , 0
Kirk_Watson, 18 , 17
Konni_Burton, 14 , 0
Kyle_Janek, 5 , 3
Kyle_Kacal, 2 , 1
Lamar_Smith, 118 , 223
Larry_Gonzales, 5 , 0
Larry_Phillips, 3 , 3
Larry_Taylor, 6 , 13
Lawrence_E._Meyers, 2 , 1
Lawrence_Meyers, 4 , 66
Leighton_Schubert, 1 , 0
Linda_Koop, 3 , 0
Lloyd_Doggett, 39 , 173
Lois_Kolkhorst, 9 , 0
Louie_Gohmert, 69 , 37
Lyle_Larson, 9 , 1
Mac_Thornberry, 31 , 22
Marc_Veasey, 17 , 0
Marisa_Marquez, 6 , 0
Marsha_Farney, 2 , 0
Mary_Gonzalez, 8 , 15
Matt_Krause, 4 , 1
Matt_Rinaldi, 2 , 0
Matt_Schaefer, 2 , 0
Matt_Shaheen, 2 , 0
Michael_Burgess, 11 , 12
Michael_Keasler, 3 , 1
Michael_McCaul, 164 , 57
Mike_Conaway, 11 , 11
Mike_Schofield, 4 , 0
Molly_White, 8 , 1
Morgan_Meyer, 2 , 0
Myra_Crownover, 2 , 0
Nathan_Hecht, 3 , 22
Nathan_L._Hecht, 4 , 17
Nathan_L._Hechtbak, 4 , 6
Patricia_Harless, 2 , 0
Paul_Bettencourt, 4 , 6
Paul_Green, 3 , 64
Paul_Workman, 5 , 0
Pete_Olson, 9 , 7
Pete_Sessions, 92 , 91
Phil_Johnson, 3 , 9
Phil_King, 1 , 0
Phil_Stephenson, 1 , 5
Poncho_Nevarez, 2 , 0
Rafael_Anchia, 11 , 2
Ramon_Romero, 2 , 42
Randy_Neugebauer, 25 , 63
Randy_Weber, 15 , 7
Rene_Oliveira, 5 , 2
Richard_Raymond, 6 , 84
Rick_Miller, 8 , 63
Robert_Nichols, 6 , 10
Roberto_Alonzo, 1 , 0
Rodney_Anderson, 6 , 2
Rodney_Ellis, 36 , 60
Rodney_Ellis_bak, 7 , 0
Roger_Williams, 15 , 130
Ron_Reynolds, 2 , 1
Ron_Simmons, 2 , 13
Royce_West, 9 , 14
Ruben_Hinojosa, 12 , 24
Ruth_Jones_McClendon, 2 , 1
Ryan_Guillen, 2 , 0
Ryan_Sitton, 3 , 0
Sam_Johnson, 18 , 96
Sarah_Davis, 6 , 4
Scott_Turner, 8 , 14
Senfronia_Thompson, 10 , 1
Sergio_Munoz, 5 , 18
Sergio_Muñoz_Jr., 1 , 0
Sharon_Keller, 9 , 3
Sheila_Jackson_Lee, 38 , 118
Sid_Miller, 12 , 0
Stephanie_Klick, 3 , 0
Stuart_Spitzer, 4 , 1
Susan_King, 1 , 9
Sylvester_Turner, 9 , 12
Sylvia_Garcia, 5 , 1
Tan_Parker, 2 , 0
Ted_Cruz, 839 , 172
Ted_Poe, 28 , 41
Terry_Canales, 4 , 1
Todd_Hunter, 8 , 3
Tom_Craddick, 29 , 34
Tony_Dale, 3 , 0
Tony_Tinderholt, 2 , 0
Tracy_King, 1 , 1
Trey_Martinez_Fischer, 20 , 0
Troy_Fraser, 19 , 4
Van_Taylor, 7 , 5
Wayne_Faircloth, 2 , 0
Wayne_Smith, 6 , 8
Will_Hurd, 49 , 535
Will_Hurdbak, 5 , 0
Will_Metcalf, 21 , 677
William_Zedler, 1 , 0
Yvonne_Davis, 2 , 1
